Title,Event Type,Date,Time,City,Organization,Rating,Volunteers Engaged,Min Duration,Max Duration,Duration String
Youth Reunion Conference,"Events, Conferences",Jul 30 2024 - Jul 31 2024,1:00 PM - 11:59 PM,Lahore,Centre For Social Development,1,6,10,16,10 - 16 hours
Fun Day with Orphans at Packages Mall,Social Responsibility,Jul 27 2024 - Jul 29 2024,12:00 PM - 11:59 PM,Lahore,Ibn e Akram Welfare Foundation,3,2,5,16,5 - 16 hours
Summer Internship Program,"Teaching, Workshops",Jun 25 2024 - Jul 25 2024,10:00 AM - 12:00 PM,Lahore,Pakistan Citizens Alliance,4,5,9,11,9 - 11 hours
Monsoon Plantation Drive 2024,Community Service,Jul 15 2024 - Jul 23 2024,9:00 AM - 11:59 PM,,Ali Hasnain,2,9,3,16,3 - 16 hours
Volunteer Flagship Training Program,Community Service,Jul 08 2024 - Jul 16 2024,3:00 AM - 5:00 AM,Lahore,Pakistan Citizens Alliance,4,5,7,20,7 - 20 hours
Plantation Activity,"Events, Conferences",Jul 07 2024 - Jul 07 2024,5:00 PM - 7:00 PM,Karachi,Shahroz Siraj,5,9,7,14,7 - 14 hours
Isaar Ramadan Drive 2024,Community Service,Mar 19 2024 - Jul 07 2024,3:00 PM - 7:00 PM,Lahore,Isaar Foundation,4,4,2,15,2 - 15 hours
Book Collection Drive,Community Service,Jun 25 2024 - Jul 02 2024,9:00 AM - 5:00 AM,Karachi,Gohar I Nayab,4,19,4,18,4 - 18 hours
Plantation Activity,"Teaching, Workshops",Jun 30 2024 - Jun 30 2024,9:00 AM - 12:00 PM,Karachi,Shahroz Siraj,3,4,8,15,8 - 15 hours
Share A Meal,"Teaching, Workshops",Jun 29 2024 - Jun 29 2024,3:00 AM - 6:00 AM,Karachi,Gohar I Nayab,3,9,4,18,4 - 18 hours
Celebrating World Blood Donor Day Awareness Walk,"Events, Conferences",Jun 14 2024 - Jun 20 2024,2:00 PM - 11:59 PM,Lahore,Milkar,5,7,3,11,3 - 11 hours
Eid-Al-Adha Cleanliness Drive,Community Service,Jun 15 2024 - Jun 19 2024,12:00 AM - 11:59 PM,,Milkar,4,7,9,19,9 - 19 hours
Akhuwat Ramadan Clothes Drive,Community Service,Mar 06 2024 - Jun 16 2024,9:00 AM - 11:59 PM,Lahore,Akhuwat Foundation,3,6,2,17,2 - 17 hours
Karachi Beach Cleanliness Drive,Community Service,May 18 2024 - Jun 16 2024,9:00 AM - 11:59 PM,Karachi,Sir Syed University of Engineering and Technology,3,5,10,19,10 - 19 hours
TCF Summer Camp 2024 | Rawalpindi,"Events, Conferences",Jun 03 2024 - Jun 15 2024,8:30 AM - 1:30 PM,Rawalpindi,The Citizens Foundation,3,6,5,17,5 - 17 hours
TCF Summer Camp 2024 | Karachi,Community Service,Jun 03 2024 - Jun 15 2024,8:30 AM - 1:30 PM,Karachi,The Citizens Foundation,5,5,3,14,3 - 14 hours
TCF Summer Camp 2024 | Lahore/Faisalabad,Community Service,Jun 03 2024 - Jun 15 2024,8:30 AM - 1:30 AM,Lahore,The Citizens Foundation,5,20,10,13,10 - 13 hours
Summer Clothes Drive,Community Service,Jun 11 2024 - Jun 15 2024,4:00 AM - 5:00 AM,Lahore,Esha Shahzad,1,4,5,11,5 - 11 hours
Community Service Programme,Community Service,Jun 06 2024 - Jun 14 2024,9:00 AM - 11:59 PM,Lahore,University of Management & Technology,5,5,6,11,6 - 11 hours
Summer Clothing Drive 2024,Community Service,May 30 2024 - Jun 10 2024,4:00 PM - 7:00 PM,Multan,AL Ghareem Welfare,5,19,8,14,8 - 14 hours
Awareness Session: World No Tobacco Day 2024 Presented by PSL,Social Responsibility,May 31 2024 - Jun 03 2024,11:30 AM - 11:59 PM,Karachi,Milkar,5,4,1,17,1 - 17 hours
No Tobacco Day One Day Awareness Seminar and Rally,"Teaching, Workshops",May 30 2024 - May 31 2024,9:00 AM - 11:59 AM,Khairpur,Shah Abdul Latif University Khairpur,3,14,8,16,8 - 16 hours
Climate Change Awareness and Plantation,"Events, Conferences",May 29 2024 - May 29 2024,10:00 AM - 3:00 PM,Lahore,Hafiz Muhammad Saad Irshad,5,11,9,15,9 - 15 hours
Heat Stroke Camp,"Teaching, Workshops",May 23 2024 - May 29 2024,9:00 AM - 11:59 PM,Khairpur,Shah Abdul Latif University Khairpur,5,4,6,14,6 - 14 hours
AWT Dastarkhwan May 2024,Community Service,May 24 2024 - May 25 2024,6:30 PM - 11:59 PM,Lahore,ALLAH Walay Trust,5,5,5,13,5 - 13 hours
Sustainable Development Goals: Focusing on SDG 15 - Life on Land,Social Responsibility,May 25 2024 - May 25 2024,2:00 PM - 11:59 PM,Karachi,Mohammed Talha Sharif,3,20,1,12,1 - 12 hours
Community Service Program,Community Service,May 20 2024 - May 21 2024,12:30 PM - 2:30 PM,Lahore,Aghosh Orphan Care Home,3,19,1,16,1 - 16 hours
Mother Earth Day Beach Cleaning & Plantation Drive,Community Service,May 21 2024 - May 21 2024,9:00 AM - 11:59 AM,Karachi,Iqra University,3,12,5,13,5 - 13 hours
Karachi Beach Cleanliness Drive,Community Service,May 18 2024 - May 21 2024,9:00 AM - 11:59 PM,Karachi,Greenwich University,3,5,8,19,8 - 19 hours
UBACon 1.0,Social Responsibility,May 18 2024 - May 21 2024,11:00 AM - 11:59 PM,Lahore,University of Management & Technology,3,8,10,19,10 - 19 hours
Jalib Awami Mela,"Teaching, Workshops",May 11 2024 - May 18 2024,4:00 PM - 9:00 PM,Lahore,Habib Jalib Memorial Foundation,3,8,3,18,3 - 18 hours
Awareness Session For Community Service Program,Community Service,May 14 2024 - May 15 2024,11:00 AM - 11:59 PM,Lahore,University of Management & Technology,5,5,7,11,7 - 11 hours
Akhuwat Internship Program 2024,Social Responsibility,Apr 27 2024 - May 15 2024,9:00 AM - 11:59 PM,Lahore,Akhuwat Foundation,3,5,8,12,8 - 12 hours
Awareness Session For Community Service Program,Community Service,May 14 2024 - May 15 2024,11:00 AM - 11:59 PM,Lahore,Mil Kar,3,5,7,14,7 - 14 hours
SmartGreenGardening,"Teaching, Workshops",May 02 2024 - May 15 2024,12:00 PM - 12:00 PM,Mardan,"University of Engineering & Technology (UET), Mardan",5,5,7,15,7 - 15 hours
Climate Harmony,Community Service,May 05 2024 - May 11 2024,4:00 PM - 11:59 PM,Lahore,AL Ghareem Welfare,4,5,3,18,3 - 18 hours
Alkhidmat WheelChair and Sewing Machine Distribution,Community Service,May 10 2024 - May 10 2024,4:00 PM - 5:30 PM,Lahore,Alkhidmat Volunteers Club Lahore,5,17,2,12,2 - 12 hours
Thalassemia Awareness Session and Screening Camp,Community Service,May 08 2024 - May 09 2024,9:30 AM - 11:59 PM,Lahore,LAGAN,4,17,8,16,8 - 16 hours
Thalassemia Awareness Session and Screening Camp,"Teaching, Workshops",May 08 2024 - May 09 2024,9:30 AM - 11:59 PM,Lahore,Superior University Lahore,5,8,5,19,5 - 19 hours
UMEED Annual Blood Donation Drive,Social Responsibility,May 06 2024 - May 08 2024,9:00 AM - 11:59 PM,Islamabad,Institute of Space Technology,5,1,9,16,9 - 16 hours
World Thalassemia Day Awareness Walk,Social Responsibility,May 06 2024 - May 07 2024,4:30 PM - 5:30 PM,Lahore,Sundas foundation,3,4,6,15,6 - 15 hours
A day with Hostel boys: Iftar party,"Teaching, Workshops",Apr 05 2024 - May 05 2024,10:42 PM - 11:23 PM,Ghotki,Kamal ul Din,1,5,6,12,6 - 12 hours
Plantation Drive,Community Service,May 04 2024 - May 04 2024,2:00 PM - 5:00 PM,Lahore,Hafiz Muhammad Saad Irshad,4,5,9,12,9 - 12 hours
Alkhidmat Palestine Aid Program,Community Service,Apr 27 2024 - May 04 2024,9:00 AM - 11:59 PM,Lahore,Alkhidmat Foundation Pakistan,3,16,3,19,3 - 19 hours
Volunteer Flagship Training Program Batch 21,Community Service,Apr 22 2024 - Apr 30 2024,3:00 PM - 5:00 PM,Lahore,Pakistan Citizens Alliance,5,9,6,12,6 - 12 hours
Dastarkhwan Drive,Community Service,Mar 28 2024 - Apr 28 2024,3:00 PM - 8:30 AM,Karachi,Safdar Shah,3,16,1,16,1 - 16 hours
Pursakoon Zindge K Raz (The Secrets to a Peaceful Life),"Teaching, Workshops",Apr 24 2024 - Apr 25 2024,8:00 AM - 11:59 PM,,Young Psychologists Association,4,13,6,19,6 - 19 hours
Celebrating International Mother Earth Day,"Events, Conferences",Apr 20 2024 - Apr 22 2024,9:00 AM - 1:00 PM,Karachi,Green School System,2,1,2,16,2 - 16 hours
Celebrating International Earth Day,"Events, Conferences",Apr 19 2024 - Apr 20 2024,12:00 PM - 11:59 PM,Karachi,Greenwich University,3,4,3,11,3 - 11 hours
A Walk To Clean Slums,"Teaching, Workshops",Apr 20 2024 - Apr 20 2024,10:00 AM - 2:00 PM,,AL Ghareem Welfare,3,19,2,17,2 - 17 hours
Volunteers Needed for Ramazan Ration Packing,Community Service,Mar 13 2024 - Apr 12 2024,9:00 AM - 4:00 PM,Lahore,Pakistan Citizens Alliance,5,6,9,13,9 - 13 hours
Iftar dastarkhan,"Events, Conferences",Apr 08 2024 - Apr 10 2024,4:01 PM - 7:01 PM,Lahore,Hafiz Muhammad Saad Irshad,4,6,10,16,10 - 16 hours
Iftar Dastarkhawn 2024,"Events, Conferences",Mar 12 2024 - Apr 10 2024,5:00 PM - 7:00 PM,Lahore,ALLAH Walay Trust,5,9,10,20,10 - 20 hours
Ramadan Kareem: Iftar for the Security Staff,"Teaching, Workshops",Apr 09 2024 - Apr 09 2024,5:00 PM - 11:59 PM,,Shah Abdul Latif University Khairpur,4,20,1,18,1 - 18 hours
Blessing of Ramzan,"Teaching, Workshops",Apr 09 2024 - Apr 09 2024,5:00 PM - 7:30 PM,Khanewal,Nadeem Abass,1,6,3,15,3 - 15 hours
Ramadan Is Blessing: Sharing Iftar,Social Responsibility,Apr 08 2024 - Apr 08 2024,4:30 PM - 7:30 PM,Lahore,Muhammad Asif,4,20,6,13,6 - 13 hours
Iftaar Dastarkhwaan,"Teaching, Workshops",Apr 02 2024 - Apr 07 2024,5:00 PM - 8:00 PM,Peshawar,Save the birds,5,7,10,11,10 - 11 hours
Old Age Home Visit,"Events, Conferences",Apr 07 2024 - Apr 07 2024,6:00 PM - 10:00 PM,Lahore,Roshan Safar,3,4,1,19,1 - 19 hours
IFTAR,Community Service,Apr 07 2024 - Apr 07 2024,5:30 PM - 7:30 PM,Loralai,Muhammad Tahir,4,16,2,13,2 - 13 hours
Iftar For Slums,Community Service,Apr 05 2024 - Apr 07 2024,4:00 PM - 7:00 PM,Lahore,AL Ghareem Welfare,3,18,1,17,1 - 17 hours
Ramadan Drive '24,Community Service,Mar 11 2024 - Apr 07 2024,4:00 PM - 8:00 PM,Burewala,Humans Of Burewala,5,12,4,20,4 - 20 hours
Gathering for Iftar with the Children,Social Responsibility,Apr 05 2024 - Apr 06 2024,4:00 PM - 7:00 PM,Gujranwala,Sehar Ijaz,2,5,9,18,9 - 18 hours
Iftar with Communal Hub,Community Service,Apr 04 2024 - Apr 05 2024,5:00 PM - 11:59 PM,Lahore,Super girls on bikes,5,2,2,11,2 - 11 hours
Sustainable Plantation Drive 2024,Community Service,Apr 03 2024 - Apr 04 2024,9:00 AM - 11:59 PM,Malakand,University of Malakand,5,1,4,17,4 - 17 hours
Orphanage Visit,"Events, Conferences",Mar 30 2024 - Mar 31 2024,9:00 AM - 5:00 PM,Lahore,Roshan Safar,3,5,10,17,10 - 17 hours
Akhuwat Winter Clothes Drive 2024,Community Service,Jan 01 2024 - Mar 31 2024,10:00 AM - 10:00 PM,Lahore,Akhuwat Foundation,4,17,2,13,2 - 13 hours
Karachi Kitab Karavan Book Donation Drive,Social Responsibility,Jan 22 2024 - Mar 31 2024,9:00 AM - 9:00 PM,Karachi,Milkar,3,16,6,20,6 - 20 hours
Blessed Moments Iftar Gathering with Orphans,Community Service,Mar 29 2024 - Mar 30 2024,11:00 AM - 11:59 PM,Lahore,Young Psychologists Association,4,12,7,19,7 - 19 hours
Ramdan Futsal Tournament,Community Service,Mar 15 2024 - Mar 30 2024,7:00 PM - 12:00 AM,Lahore,Alkhidmat Foundation Pakistan,4,4,7,16,7 - 16 hours
Iftaar Dastarkhwaan,"Teaching, Workshops",Mar 30 2024 - Mar 30 2024,6:00 PM - 7:00 PM,Peshawar,Save the birds,5,13,5,16,5 - 16 hours
Suits Distribution,"Events, Conferences",Mar 28 2024 - Mar 28 2024,9:00 AM - 5:00 AM,Lahore,Roshan Safar,3,7,10,15,10 - 15 hours
Ramadan Ration Drive,Community Service,Mar 23 2024 - Mar 24 2024,9:00 AM - 5:00 PM,Lahore,Roshan Safar,4,4,5,12,5 - 12 hours
Green Karachi Tree Plantation Drive,Community Service,Jan 22 2024 - Mar 23 2024,9:00 AM - 6:00 PM,Karachi,Milkar,5,6,9,19,9 - 19 hours
Pakistan Day Fitness Walk and Run,Community Service,Mar 21 2024 - Mar 23 2024,5:00 PM - 11:59 PM,Lahore,Critcal Mass Lahore,1,11,9,14,9 - 14 hours
Lahore Marathon 2024,Community Service,Feb 01 2024 - Mar 23 2024,5:00 AM - 2:00 PM,Lahore,Falcon Triathlon Club,1,5,7,16,7 - 16 hours
Embracing Ramadan With Purpose,Community Service,Mar 13 2024 - Mar 16 2024,5:00 PM - 7:00 PM,Lahore,JANNAT UL FIRDOUS TRUST,2,3,9,14,9 - 14 hours
International Women's Day Cycling Ride,"Events, Conferences",Mar 07 2024 - Mar 10 2024,7:00 AM - 11:59 PM,Lahore,Super girls on bikes,4,15,2,13,2 - 13 hours
Clean and Green - UET Mardan,"Teaching, Workshops",Mar 05 2024 - Mar 05 2024,11:00 AM - 2:00 PM,Mardan,"University of Engineering & Technology (UET), Mardan",5,1,6,12,6 - 12 hours
Blood Donation Camp & Thalassemia Awareness Seminar,Social Responsibility,Mar 05 2024 - Mar 05 2024,9:00 AM - 3:00 PM,Mardan,"University of Engineering & Technology (UET), Mardan",5,6,9,13,9 - 13 hours
SMIU x MilKAR Beach Cleanliness Drive 2024,Community Service,Mar 04 2024 - Mar 04 2024,9:00 AM - 1:00 PM,Karachi,Sindh Madressatul Islam University Karachi,5,13,1,17,1 - 17 hours
Clean & Green Pakistan Movement,"Events, Conferences",Feb 29 2024 - Mar 01 2024,9:00 AM - 1:00 PM,Lahore,Alkhidmat Foundation Pakistan,4,16,5,18,5 - 18 hours
Helping people,Community Service,Jan 30 2024 - Mar 01 2024,10:42 PM - 11:23 PM,Islamabad,Zartaj Shafqat,3,4,3,19,3 - 19 hours
EcoVenture Camp,Community Service,Feb 29 2024 - Feb 29 2024,3:00 PM - 8:00 PM,Lahore,World Wide Fund for Nature Pakistan,5,16,10,19,10 - 19 hours
Karachi Beach Cleaning Drive February 2024,Community Service,Jan 18 2024 - Feb 24 2024,9:00 AM - 2:00 PM,Karachi,Milkar,5,4,8,18,8 - 18 hours
مسکراہٹوں بھری شام تعلیم کے نام - SAF - GCT Dinner,"Teaching, Workshops",Feb 20 2024 - Feb 24 2024,7:00 PM - 10:00 PM,Karachi,Green Crescent Trust,5,4,5,17,5 - 17 hours
AWT Dastarkhwan February 2024,Social Responsibility,Feb 24 2024 - Feb 24 2024,4:30 PM - 6:30 PM,Lahore,ALLAH Walay Trust,3,3,7,16,7 - 16 hours
Volunteer Flagship Training Program Batch 18,Community Service,Feb 12 2024 - Feb 20 2024,3:00 PM - 5:00 PM,Lahore,Pakistan Citizens Alliance,4,4,10,16,10 - 16 hours
"Volunteer Needed: Supplies Packing For Gaza, Palestine",Community Service,Feb 15 2024 - Feb 20 2024,11:00 AM - 6:00 PM,Lahore,Alkhidmat Foundation Pakistan,3,3,5,17,5 - 17 hours
Green Harmony,"Events, Conferences",Feb 14 2024 - Feb 15 2024,9:00 AM - 11:59 PM,,Milkar,3,1,3,12,3 - 12 hours
Victory Steps: A Cycling Ride for Prosperity,"Teaching, Workshops",Feb 10 2024 - Feb 11 2024,5:00 PM - 11:59 PM,,Milkar,5,15,10,13,10 - 13 hours
Winter Internship Program (Research & Graphic Designing),"Teaching, Workshops",Dec 26 2023 - Feb 07 2024,10:00 AM - 5:00 PM,Lahore,Pakistan Citizens Alliance,4,7,10,13,10 - 13 hours
Volunteer Flagship Training Program Batch 17,Community Service,Jan 29 2024 - Feb 06 2024,3:00 PM - 5:00 PM,Lahore,Pakistan Citizens Alliance,4,5,1,18,1 - 18 hours
"Urgent Volunteer Call: Make a Difference in Gaza, Palestine",Community Service,Jan 25 2024 - Jan 31 2024,10:00 AM - 7:00 PM,Lahore,Alkhidmat Foundation Pakistan,4,5,10,13,10 - 13 hours
KDSP Carnival 2024 – A Celebration of Unity and Joy,"Teaching, Workshops",Jan 20 2024 - Jan 28 2024,3:00 PM - 9:00 PM,Karachi,Milkar,5,18,3,13,3 - 13 hours
